Organization_ID,Industry,Company_Size,Primary_AI_Tool,Adoption_Year,Employee_Count,Satisfaction_Score,AI_Investment_USD,Cost_Savings_USD,Productivity_Gain_Pct
ORG_001,Retail,Small (<100),Generative AI Content,2022,1153,2,294709.0582243069,356397.25986995746,15.053552881033625
ORG_002,Tech,Small (<100),DevOps Copilots,2023,3689,10,710264.3883104488,879971.8864022,32.153137621075885
ORG_003,Manufacturing,Small (<100),Customer Chatbots,2021,2827,10,538322.3323805748,625752.9211832609,39.222953720281595
ORG_004,Tech,Small (<100),DevOps Copilots,2025,2972,10,535769.7812863137,812792.3398399194,31.62654097156085
ORG_005,Finance,Medium (100-999),Automation Systems,2024,1411,9,369108.6040917487,588640.2558357555,33.89999759854093
ORG_006,Healthcare,Medium (100-999),Automation Systems,2022,272,6,62984.64542576206,75979.21371101588,24.992312594922772
ORG_007,Manufacturing,Medium (100-999),Predictive Analytics,2023,2030,9,475101.38432927936,661230.1729839046,31.11996443713611
ORG_008,Education,Small (<100),Customer Chatbots,2021,395,2,69654.66806581954,97391.4714059479,13.847673116745
ORG_009,Healthcare,Medium (100-999),Generative AI Content,2026,104,2,31407.692688478608,44614.02755475104,11.115521735958765
ORG_010,Finance,Medium (100-999),Generative AI Content,2026,1473,9,429407.19487328123,609532.6694886651,33.58970211438172
ORG_011,Tech,Large (1000+),DevOps Copilots,2026,4354,1,1049226.6893879718,1344573.9126571475,17.353213789438122
ORG_012,Manufacturing,Small (<100),Predictive Analytics,2025,655,2,175288.28039668934,250640.4020412018,19.46848679704991
ORG_013,Tech,Medium (100-999),DevOps Copilots,2023,1745,9,466710.1097755,606487.9908187399,34.21686959638283
ORG_014,Finance,Large (1000+),Customer Chatbots,2022,1850,2,376712.29839365184,455862.82675450976,10.709930860090324
ORG_015,Retail,Small (<100),Automation Systems,2025,590,9,115301.2560318327,134459.2428079606,36.85514240580671
ORG_016,Healthcare,Medium (100-999),Customer Chatbots,2025,1569,2,262752.2603811593,350383.38000947377,17.290758494598506
ORG_017,Retail,Large (1000+),Automation Systems,2021,2789,2,525447.6722590729,688830.8022948944,12.785451446669406
ORG_018,Tech,Large (1000+),Customer Chatbots,2025,4518,2,718418.7719429731,964707.4996129248,12.137472991991817
ORG_019,Finance,Small (<100),Customer Chatbots,2021,3208,5,933409.2183732373,1351852.605660994,24.805053174154658
ORG_020,Manufacturing,Medium (100-999),Customer Chatbots,2022,2440,4,726141.050750044,1070323.035499552,15.571652729074831
ORG_021,Healthcare,Medium (100-999),DevOps Copilots,2022,4170,2,1165096.9004418387,1830131.955137348,15.696754101381849
ORG_022,Healthcare,Small (<100),Automation Systems,2023,4791,10,1101222.1542277592,1605687.508503324,32.38685952615846
ORG_023,Finance,Medium (100-999),Generative AI Content,2024,604,1,135259.8636326823,166721.3359631856,16.832593779937092
ORG_024,Manufacturing,Large (1000+),Generative AI Content,2023,3599,9,926208.9387833232,1326048.111506437,36.889300039271035
ORG_025,Tech,Small (<100),Automation Systems,2025,1283,5,250163.08903549568,361172.6006610327,26.029128153918975
ORG_026,Healthcare,Small (<100),Automation Systems,2021,3479,5,549199.6475629861,873171.9577821506,19.115819762738862
ORG_027,Finance,Medium (100-999),DevOps Copilots,2021,626,3,152880.72552763743,179489.14077224673,13.774455192821389
ORG_028,Finance,Large (1000+),Automation Systems,2025,1730,4,436428.5294629108,670946.1762279699,24.73837022637289
ORG_029,Retail,Large (1000+),Predictive Analytics,2025,1460,7,230643.619333869,361051.3537130799,30.522351389371387
ORG_030,Manufacturing,Large (1000+),Generative AI Content,2022,895,7,257920.70376521064,389020.0701421339,27.10303234678942
ORG_031,Finance,Large (1000+),Predictive Analytics,2022,1592,7,320075.15808414674,416046.23492099287,32.3114968719826
ORG_032,Healthcare,Large (1000+),Automation Systems,2025,2149,3,515009.49653315643,769019.4362445549,16.86393883870608
ORG_033,Education,Small (<100),DevOps Copilots,2022,373,7,64208.26767777553,93725.77142581012,29.919500778394763
ORG_034,Retail,Medium (100-999),Automation Systems,2026,2714,10,544155.8188405583,680282.4556118913,33.09284662208653
ORG_035,Finance,Medium (100-999),Generative AI Content,2024,1581,7,398191.66294307157,472658.94783254486,28.191052548658092
ORG_036,Finance,Large (1000+),Generative AI Content,2023,3531,10,854875.7578310872,1229152.0051065495,35.11173996874587
ORG_037,Manufacturing,Large (1000+),Predictive Analytics,2024,2334,9,587966.5678982437,926635.2117743023,29.84868598526684
ORG_038,Finance,Large (1000+),Predictive Analytics,2021,2015,8,493699.12865490397,761811.5514541041,30.75670899409318
ORG_039,Retail,Medium (100-999),Customer Chatbots,2022,55,2,14747.413928178088,21353.604833088903,14.645498845742521
ORG_040,Healthcare,Large (1000+),Automation Systems,2024,3816,9,1149424.8771113644,1776680.9324367738,33.626523227617625
ORG_041,Retail,Medium (100-999),DevOps Copilots,2023,1313,8,295985.74172835995,366624.4191742447,32.77674835333972
ORG_042,Healthcare,Small (<100),Customer Chatbots,2021,2350,4,451934.3768692042,528395.8121892071,17.312614797281867
ORG_043,Retail,Medium (100-999),Automation Systems,2023,2720,9,601449.8341426309,946099.244152597,27.695319567377272
ORG_044,Manufacturing,Medium (100-999),Customer Chatbots,2021,2891,5,764294.053449223,1049426.2971571765,23.532525889412412
ORG_045,Tech,Small (<100),Customer Chatbots,2024,3195,6,808516.4347071046,1229149.3992030504,29.19541620668976
ORG_046,Education,Medium (100-999),Customer Chatbots,2024,232,2,59845.68946056062,67334.91768681594,13.791038641881396
ORG_047,Tech,Medium (100-999),Customer Chatbots,2023,3463,5,957738.5435063274,1078454.5951452288,27.01919692381921
ORG_048,Tech,Small (<100),Automation Systems,2025,2035,4,566971.3340844254,757916.240740399,16.143894461093065
ORG_049,Education,Medium (100-999),Generative AI Content,2025,1384,10,339625.2553504391,512715.46615264146,39.64720773034088
